name,calories,protein,diet_type,tags
Egg Omelette,300,20,non-veg,"breakfast,quick,protein"
Egg White Scramble,220,24,non-veg,"gym,high-protein,breakfast"
Grilled Chicken Salad,400,35,non-veg,"gym,light,protein"
Chicken Breast Bowl,550,45,non-veg,"gym,bulk,high-protein"
Paneer Rice Bowl,550,28,veg,"comfort,balanced"
Paneer Bhurji,420,26,veg,"protein,quick"
Tofu Stir Fry,380,30,veg,"gym,high-protein"
Veg Soup,180,6,veg,"light,low-calorie"
Greek Salad,250,10,veg,"light"
Fruit Bowl,200,4,veg,"light,snack"
Dal Tadka,350,18,veg,"balanced"
Rajma Bowl,480,22,veg,"balanced,comfort"
Chole Rice,600,20,veg,"comfort"
Veg Pulao,500,12,veg,"balanced"
Chicken Wrap,450,32,non-veg,"quick,protein"
Paneer Roll,480,24,veg,"quick"
Butter Chicken,700,40,non-veg,"comfort"
Chicken Biryani,750,38,non-veg,"comfort"
Veg Fried Rice,520,10,veg,"comfort"
Chicken Fried Rice,600,28,non-veg,"comfort"
Protein Oats,350,25,veg,"gym,breakfast"
Peanut Butter Toast,320,12,veg,"snack,quick"
Banana Smoothie,280,8,veg,"snack"
Boiled Eggs,210,18,non-veg,"quick,protein"
Yogurt Bowl,250,14,veg,"breakfast"
Clear Chicken Soup,220,20,non-veg,"light"
Steamed Veg Plate,150,5,veg,"light"
Cheese Sandwich,420,15,veg,"comfort"
Pasta Alfredo,650,18,veg,"comfort"
Spaghetti Chicken,680,35,non-veg,"comfort"
Veg Sandwich,300,10,veg,"quick"
Chicken Tikka,450,42,non-veg,"gym,high-protein"
Paneer Tikka,420,30,veg,"gym,protein"
Masala Dosa,500,10,veg,"breakfast"
Idli Sambar,320,12,veg,"breakfast,light"
Upma,380,9,veg,"breakfast"
Chicken Curry,600,36,non-veg,"balanced"
Fish Curry,520,34,non-veg,"balanced"
Grilled Fish,400,38,non-veg,"gym,protein"
Veg Burger,550,14,veg,"comfort"
Chicken Burger,650,30,non-veg,"comfort"
Mushroom Stir Fry,350,16,veg,"balanced"
Tofu Rice Bowl,480,28,veg,"gym"
Quinoa Salad,420,18,veg,"light,balanced"
Avocado Toast,350,9,veg,"breakfast"
Protein Pancakes,400,30,veg,"gym,breakfast"
Scrambled Eggs,280,22,non-veg,"breakfast,quick"
Chicken Caesar Salad,430,36,non-veg,"light"
Veg Manchurian,520,12,veg,"comfort"
Chicken Manchurian,580,30,non-veg,"comfort"
Lentil Soup,300,18,veg,"light"
Cottage Cheese Bowl,390,28,veg,"gym"
Turkey Sandwich,460,32,non-veg,"quick"
Spinach Omelette,310,23,non-veg,"breakfast"
Falafel Wrap,480,16,veg,"balanced"
Keto Chicken Bowl,520,44,non-veg,"gym,low-carb"
Low Carb Veg Bowl,350,18,veg,"gym,low-carb"
Protein Shake,250,30,veg,"gym,quick"
Chicken Shawarma,620,34,non-veg,"comfort"
Veg Noodles,500,11,veg,"comfort"
Chicken Noodles,580,28,non-veg,"comfort"
